clob_token_ids                                                                                                                                                           , cosine_similarity
"[""9875273331604434310973374077817381730908757452538191940842519381772366848"",""102723918081644490126383882876216056971015484595406893020273651317068912986031""]"     , 1.0
"[""50967548204329017987830198881678379324925229642745345006556239550086450305683"",""115501292123784493560208603134608720469558256088155715398265930336987426257500""]" , 1.0
"[""23899766443614969608658296541413892746074395565401020148911064394383451718287"",""25765037387524014769837184703839398880309939079249018711823802821484025728360""]"  , 1.0
"[""106778113591587130823237611730106801156642014590069463334908213303854557848320"",""24799852729740262751171447974546708999869903145660949093052442987350868097255""]" , 1.0
"[""54458771874102923476446007397967779610891477364928997294803776480397995285670"",""89316919232157118417445590549355216256748964718103116943399506260891481945663""]"  , 1.0
"[""74157428658439936702178176794271852116171351968325754257122079016763626549678"",""112450585715958272869844476948534618215928560066779172451259465109089215948136""]" , 1.0
"[""57813774524155463423838033259397133747187306761649300584910471142751787047106"",""11877463421575627399832814060735932096264057733741460299610472479162768119379""]"  , 1.0
"[""70090363170367815297146294007692529992906189341824085184699164213923074932193"",""35918614959132240672972100533187554004607507769891590466812247031982809612815""]"  , 1.0
"[""19807745274820218436318664068726385243490453006769046292026430944247457642518"",""21131496477873579455903585507781251181064860444928699705256348049912729827076""]"  , 1.0
"[""33542445485691518793667430671544337077625925296190834068704596915006226436662"",""108862194638993389560977819445756743551852284590814775610807486714795586143989""]" , 1.0
"[""22397766228589110871783272985290872433765236471932774952155419500943165057456"",""64711786665968428193644926367505584839826326600641979004261957536577681115496""]"  , 1.0
"[""108315584853799729838614333748063377472256875592940383916811669252949563879956"",""74921524632803398583613673988913422705359421231729013939477939186930662435210""]" , 1.0
"[""33659372827600316727835785655881220724422400527200618608139639039116681963297"",""45146369041790876198635366580415867517047049508141037239379654179930940776529""]"  , 1.0
"[""96973957786774292657725727704161355117097718305078541749573961442408162809498"",""76013108028102534259283172692270003011972792134162294203152429690688304803384""]"  , 1.0
"[""56991425040470014589708152891810902187001753015037609709825153921254989277828"",""38952357974068357896293012176440716894628591320948514343279282400674861252347""]"  , 1.0
"[""57362872515996779646330392792968364197447194546322339120726729263378672989286"",""5844398675933130090117388080213768590698276127041585733344000174167054297813""]"   , 1.0
"[""47444534299909833523895770503794407142886446645714999566458266374804914542946"",""71464108500672983676536398854219674504864814997435981582754166649109871191554""]"  , 1.0
"[""98460221163491257582561784482909447764170654893388981688283099290558156631581"",""106752699603266763784849736065272688687603139761745952185531728847192670959259""]" , 1.0
"[""22843583070085866499779544111634722619527116140422802430947064336485548248817"",""84389491616513714823666614754053572948282834121525668471568267103087673737349""]"  , 1.0
"[""52157149300174818059363426658218018250717387200396727951520298136135654337625"",""22546985065477684818810789793847501035824084989865746198974631283749451856194""]"  , 1.0
"[""43996517466069168106802770900870289160182148869613632422121759080173172653462"",""65352899435250001909112885455763971360013158662453391169470389250673340297697""]"  , 1.0
"[""9347111990487733900636918391489984417162545174162283131843493265461066742663"",""2310208690734501335165541918291506305479166801226183051157995198065529109620""]"    , 1.0
"[""8618184031231342643840589970076443003283607991865226846156174312081261691762"",""45531766049319965890863214697256406917608277105688348520840698813821845625233""]"   , 1.0
"[""71287865176633432356197929096139865786224903421308125412610296073187526047113"",""82792433033760781538885870993088954283049522374001880218268765998915809494182""]"  , 1.0
"[""3778701297142172054009835709694047837281608259621414725374943993931338899258"",""27593294769624495449364510692469358065152813790704384009765430275474453954456""]"   , 1.0
"[""62031822870197124399291372880377253497673375396600577280749307936615331930142"",""23636199661366489995455760336431710343296746063451500415068971436882750756560""]"  , 1.0
"[""56973742966520730098960805262192922206071539024165710105433399400951278999777"",""84059764289574408252295150055825581039985955025187042102219294628683674592796""]"  , 1.0
"[""94407803885346819399934554282867985853231163521945705509403304053765796156286"",""72675171154482974856119631841895640440742160807576876752008109046187769821731""]"  , 1.0
